Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3,Feature log2 fold change topic 3,Feature count topic 4,Feature log2 fold change topic 4,Feature count topic 5,Feature log2 fold change topic 5
ENSG00000165424,ZCCHC24,54,-2.4440,416,1.00785,316,0.44965,5,-5.8315,451,1.18639
ENSG00000122378,PRXL2A,52,-2.3633,325,0.68888,199,-0.2318,77,-1.7630,479,1.54790
ENSG00000148672,GLUD1,52,-2.1933,12,-4.2895,264,0.49445,5,-5.4913,680,3.01882
ENSG00000171314,PGAM1,52,-2.0425,22,-3.3168,105,-0.9278,399,1.64291,331,1.19324
ENSG00000099194,SCD,54,-3.5546,182,-1.7511,380,-0.5689,53,-3.5935,1964,3.55071
ENSG00000148700,ADD3,53,-1.7526,12,-3.8843,236,0.82188,5,-5.0223,462,2.58599
ENSG00000187164,SHTN1,55,-2.0697,173,-0.2203,266,0.57808,174,-0.2128,312,0.89865
ENSG00000107581,EIF3A,53,-2.0382,12,-4.1592,167,-0.1873,439,1.83678,258,0.61630
ENSG00000166033,HTRA1,54,-1.1696,13,-3.3438,113,0.07801,8,-4.0450,355,2.90731
ENSG00000107902,LHPP,54,-1.4190,12,-3.6110,184,0.69388,5,-4.8694,383,2.57304
ENSG00000176171,BNIP3,52,-1.3579,12,-3.4952,97,-0.3521,5,-4.7686,425,3.33815
ENSG00000185201,IFITM2,52,-3.8291,140,-2.3654,14,-5.7194,2666,4.81556,170,-2.0725
ENSG00000142089,IFITM3,52,-4.9172,519,-1.4973,160,-3.2782,4840,3.64555,814,-0.7742
ENSG00000177600,RPLP2,53,-4.3236,838,-0.0477,376,-1.3810,1459,1.03722,1576,1.20887
ENSG00000117984,CTSD,1584,2.82921,12,-5.5752,146,-1.9928,5,-6.8254,727,0.73352
ENSG00000110651,CD81,52,-3.8948,340,-1.0593,473,-0.5172,527,-0.3304,1787,2.35852
ENSG00000269821,KCNQ1OT1,54,-1.1353,77,-0.5486,173,0.94840,5,-4.5480,221,1.50970
ENSG00000244734,HBB,2232,-4.7305,230915,6.78815,145,-8.6854,5366,-3.4457,613,-6.6040
ENSG00000166313,APBB1,53,-1.6285,86,-0.8538,63,-1.3447,5,-4.9965,501,3.26590
ENSG00000166441,RPL27A,52,-3.7995,680,0.24014,320,-1.0544,962,0.92813,968,0.94294
ENSG00000255823,MTRNR2L8,3020,-1.5837,3345,-1.4234,13906,1.13474,9467,0.34715,9498,0.35339
ENSG00000072952,MRVI1,52,-1.0133,82,-0.2707,146,0.82215,5,-4.4445,191,1.41664
ENSG00000110321,EIF4G2,52,-2.9948,80,-2.3597,64,-2.6860,933,2.21677,604,1.09587
ENSG00000050165,DKK3,52,-1.8583,12,-3.9648,86,-1.0732,49,-1.9569,611,3.60852
ENSG00000110700,RPS13,52,-3.4498,471,-0.0052,340,-0.5700,248,-1.0880,1250,2.16673
ENSG00000134333,LDHA,52,-2.7841,115,-1.5824,81,-2.1335,976,2.88554,278,-0.1371
ENSG00000254584,AL035078.1,52,-2.5355,441,1.08788,237,-0.1264,256,0.01075,285,0.20842
ENSG00000085063,CD59,52,-4.1404,888,0.30828,132,-2.7778,2216,2.52459,468,-0.8132
ENSG00000110436,SLC1A2,4908,3.94084,490,-1.5367,377,-1.9443,14,-6.7141,395,-1.8717
ENSG00000121653,MAPK8IP1,53,-1.8261,12,-3.9625,107,-0.7264,34,-2.5077,608,3.54664
ENSG00000172247,C1QTNF4,52,-1.2859,65,-0.9140,120,0.12902,11,-3.5498,312,2.31451
ENSG00000134824,FADS2,52,-1.8108,12,-3.9097,132,-0.2873,5,-5.0609,578,3.50648
ENSG00000149485,FADS1,52,-1.4437,13,-3.5504,120,-0.0748,61,-1.1942,378,2.61283
ENSG00000167996,FTH1,1915,-0.6252,2538,-0.1413,1796,-0.7327,1807,-0.7228,5679,1.49531
ENSG00000124942,AHNAK,53,-2.9679,249,-0.5687,59,-2.8218,1042,2.60462,323,-0.1166
ENSG00000254772,EEF1G,52,-3.3027,117,-2.1082,139,-1.8480,1238,2.45344,594,0.62034
ENSG00000176485,PLAAT3,54,-2.1979,285,0.57165,147,-0.6222,261,0.40354,304,0.70259
ENSG00000133318,RTN3,463,1.00026,138,-1.1783,102,-1.6478,5,-6.0163,680,1.93891
