Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6,Feature log2 fold change topic 6,Feature count topic 7,Feature log2 fold change topic 7,Feature count topic 8,Feature log2 fold change topic 8,Feature count topic 9,Feature log2 fold change topic 9
ENSG00000177954,RPS27,10,-6.6232,716,-0.3940,360,-1.5774,2709,1.96703,624,-0.6101,1480,0.80614,335,-1.5600,1654,1.00451
ENSG00000143549,TPM3,610,1.84645,161,-0.4834,245,0.22072,193,-0.1987,53,-2.1626,121,-0.9327,335,0.71678,1,-7.3511
ENSG00000143612,C1orf43,318,1.20510,161,0.02978,127,-0.3884,146,-0.1210,35,-2.2961,60,-1.4888,335,1.30174,110,-0.5665
ENSG00000160714,UBE2Q1,378,1.62907,178,0.27623,155,0.05511,64,-1.3291,33,-2.3077,55,-1.5617,335,1.39220,1,-6.8150
ENSG00000160710,ADAR,10,-4.5286,475,1.37576,285,0.54599,130,-0.7924,69,-1.7447,87,-1.4120,335,0.74339,260,0.30960
ENSG00000143603,KCNN3,10,-3.6406,39,-1.6895,33,-2.0540,97,-0.2975,74,-0.7119,185,0.77283,335,1.90509,242,1.25933
ENSG00000163344,PMVK,10,-3.5035,186,0.95382,92,-0.2505,111,0.07014,44,-1.3623,82,-0.4049,335,2.10885,1,-6.3101
ENSG00000163346,PBXIP1,257,0.07539,8,-4.9539,50,-2.5750,165,-0.6335,68,-1.9694,222,-0.1619,335,0.51425,1055,2.86352
ENSG00000163463,KRTCAP2,10,-3.7263,270,1.35688,73,-0.9128,202,0.82764,16,-3.0418,130,0.08118,335,1.78124,2,-5.6235
ENSG00000177628,GBA,10,-3.8977,138,-0.0152,175,0.44520,81,-0.8411,38,-1.9954,28,-2.4338,335,1.54474,271,1.14097
ENSG00000116521,SCAMP3,238,0.90507,21,-2.8393,119,-0.2836,61,-1.2797,28,-2.4108,42,-1.8373,335,1.54475,289,1.25751
ENSG00000160752,FDPS,10,-3.9105,245,0.88588,220,0.83375,197,0.50855,27,-2.5650,49,-1.6828,335,1.46394,1,-6.7613
ENSG00000160753,RUSC1,10,-3.4156,229,1.45109,127,0.46150,25,-2.1132,11,-3.2491,33,-1.7156,335,2.24439,1,-6.2238
ENSG00000116539,ASH1L,10,-3.6118,0,-7.4675,53,-1.3043,123,0.11867,94,-0.3159,62,-0.9529,335,1.94423,298,1.70317
ENSG00000132718,SYT11,677,0.47025,711,0.55402,441,-0.2613,436,-0.2487,241,-1.1721,260,-1.0543,335,-0.6626,1041,1.23336
ENSG00000116586,LAMTOR2,10,-3.4643,88,-0.2486,84,-0.3667,66,-0.7066,6,-4.2052,63,-0.7798,335,2.16846,192,1.05986
ENSG00000160789,LMNA,89,-0.8776,0,-7.9099,58,-1.6457,126,-0.3347,12,-3.7508,4,-5.3554,335,1.33033,716,3.06084
ENSG00000160781,PAQR6,10,-4.8141,213,-0.3307,36,-3.1468,642,1.58108,604,1.46180,221,-0.2721,335,0.40635,259,-0.0211
ENSG00000163468,CCT3,10,-4.0090,198,0.45575,145,-0.0673,116,-0.4068,18,-3.1399,53,-1.5923,335,1.39545,331,1.37069
ENSG00000125462,C1orf61,10,-5.6728,419,-0.2003,254,-1.0826,768,0.81076,224,-1.1719,1960,2.75950,335,-0.5531,48,-3.4582
ENSG00000163382,NAXE,10,-3.7784,231,1.00295,68,-1.1014,89,-0.5790,16,-3.1521,53,-1.3759,335,1.70836,284,1.38476
ENSG00000132702,HAPLN2,10,-3.4014,89,-0.1678,2,-5.6833,371,2.50779,72,-0.5123,8,-3.7235,335,2.26603,1,-6.2107
ENSG00000132692,BCAN,10,-3.7617,162,0.40712,41,-1.8618,189,0.66826,80,-0.7231,280,1.37672,335,1.73140,1,-6.5666
ENSG00000162706,CADM3,552,1.09331,643,1.37698,339,0.28836,69,-2.1943,14,-4.5175,152,-1.0180,335,0.23072,177,-0.7852
ENSG00000158710,TAGLN2,10,-4.0326,231,0.69434,114,-0.5242,177,0.24093,44,-1.8889,33,-2.3194,335,1.36523,315,1.24919
ENSG00000177807,KCNJ10,10,-4.0069,0,-7.8581,32,-2.5174,236,0.75954,106,-0.5559,86,-0.8669,335,1.39795,513,2.28923
ENSG00000162729,IGSF8,10,-3.2714,150,0.85010,34,-1.6335,207,1.44726,27,-1.8613,15,-2.6888,335,2.47894,1,-6.0812
ENSG00000018625,ATP1A2,10,-5.6824,73,-2.8488,87,-2.7603,469,-0.0312,333,-0.5716,908,1.09858,335,-0.5632,1998,2.79379
ENSG00000162734,PEA15,10,-6.0768,594,-0.0890,759,0.36389,1136,1.00957,396,-0.7288,763,0.32143,335,-0.9853,895,0.59119
ENSG00000132716,DCAF8,10,-3.6319,92,-0.3681,85,-0.5404,90,-0.3988,12,-3.3969,28,-2.1449,335,1.91661,304,1.71596
ENSG00000122218,COPA,10,-3.7406,208,0.85842,131,0.09001,129,0.04763,49,-1.4595,59,-1.1643,335,1.76114,72,-0.8593
ENSG00000143256,PFDN2,10,-3.9425,137,-0.0738,171,0.33676,178,0.35487,51,-1.5992,68,-1.1532,335,1.48422,169,0.26849
ENSG00000143222,UFC1,10,-3.9265,130,-0.1380,61,-1.4166,114,-0.3530,5,-4.8847,71,-1.0866,335,1.50513,490,2.30799
ENSG00000158864,NDUFS2,252,0.64798,286,0.87093,218,0.47149,119,-0.5716,69,-1.3927,37,-2.3328,335,1.15867,1,-6.9941
ENSG00000143252,SDHC,10,-3.7692,77,-0.7915,186,0.75242,168,0.45817,36,-1.9400,92,-0.5104,335,1.72053,55,-1.3066
ENSG00000152332,UHMK1,10,-4.1419,125,-0.4377,259,0.91042,73,-1.2635,54,-1.7116,85,-1.0357,335,1.22176,282,0.90468
ENSG00000143248,RGS5,10,-3.1523,0,-7.0118,20,-2.2769,207,1.60281,82,-0.0194,73,-0.2176,335,2.68400,1,-5.9632
ENSG00000185630,PBX1,10,-4.1594,141,-0.2714,121,-0.5610,69,-1.3698,51,-1.8067,92,-0.9244,335,1.20098,558,2.24038
ENSG00000143198,MGST3,1871,2.42070,661,0.40212,460,-0.2186,378,-0.5034,73,-2.9672,190,-1.5585,335,-0.6902,237,-1.2239
ENSG00000143149,ALDH9A1,10,-3.4832,0,-7.3388,57,-1.0498,127,0.32229,38,-1.5443,43,-1.3731,335,2.13912,273,1.70484
ENSG00000143183,TMCO1,10,-3.7720,0,-7.6243,75,-0.9184,94,-0.4921,61,-1.1440,95,-0.4701,335,1.71793,402,2.10484
ENSG00000143158,MPC2,10,-3.6436,152,0.43693,143,0.38941,160,0.52277,27,-2.2382,79,-0.6146,335,1.89981,1,-6.4500
ENSG00000143153,ATP1B1,1014,-0.6172,2959,1.17271,3729,2.12138,777,-1.0273,356,-2.1985,427,-1.9303,335,-2.2890,129,-3.6860
ENSG00000075945,KIFAP3,644,1.40940,441,0.71978,389,0.59777,119,-1.3626,53,-2.5727,134,-1.1855,335,0.25647,75,-2.0553
ENSG00000117523,PRRC2C,10,-4.2919,204,0.17983,138,-0.4940,221,0.30951,213,0.25460,188,0.04333,335,1.03301,196,0.11549
ENSG00000197959,DNM3,223,0.14156,526,1.67340,261,0.46526,89,-1.2956,100,-1.1219,47,-2.2511,335,0.82919,1,-7.2588
ENSG00000117592,PRDX6,10,-4.6469,238,0.03298,219,-0.1169,213,-0.1442,93,-1.4262,492,1.28775,335,0.60154,281,0.30540
ENSG00000234741,GAS5,10,-3.3531,50,-1.0018,33,-1.7762,155,0.81651,61,-0.7141,89,-0.1138,335,2.34422,94,-0.0293
ENSG00000152061,RABGAP1L,10,-3.5396,191,0.95319,162,0.78453,30,-1.9564,47,-1.2910,40,-1.5219,335,2.05354,1,-6.3471
