gene	module
STUB1	10
SYF2	10
TIMM9	10
TMEM126B	10
TMEM176B	10
TXN	10
UBE2M	10
USE1	10
VDAC2	10
XBP1	10
ZCRB1	10
ZNF428	10
AMER2	11
ANKRD13A	11
ANKRD33B	11
AP3B1	11
AP3B2	11
ARSG	11
ATG4B	11
BLOC1S2	11
C1orf54	11
CAPZA1	11
CWF19L1	11
DDRGK1	11
DHPS	11
DOCK6	11
EIF2B1	11
GLDC	11
GPCPD1	11
HMGN3	11
HSF1	11
IPO5	11
KCNQ3	11
MAP3K6	11
MDM2	11
MED6	11
MTF2	11
MUS81	11
NDUFS2	11
NECAP1	11
NEK3	11
OGFR	11
PCLO	11
PLCD4	11
PLCG1	11
POLH	11
RPS6KB1	11
SF3B2	11
SLF2	11
SNRPA1	11
SRP54	11
TATDN3	11
TFAP2E	11
TNFRSF10B	11
TP53INP1	11
TRPM4	11
UBE2Q2	11
UNC45A	11
UTP18	11
VDAC3	11
WNK3	11
YME1L1	11
YY1AP1	11
ZNF138	11
ZNF44	11
ZNF441	11
ZNF682	11
ZNF791	11
ZSCAN18	11
ADGRV1	12
ARX	12
ATP8A1	12
CACNB2	12
CADM1	12
CCK	12
CHRDL1	12
CHST7	12
DNM3	12
DPYSL5	12
EFNB2	12
EMX2	12
ENTPD1	12
EPHA6	12
ETV5	12
FAM184A	12
FGFR2	12
FOXG1	12
GABRA2	12
GNB4	12
GRIA1	12
GRM3	12
HSD17B11	12
IL6R	12
LHX2	12
LYSMD2	12
MEIS2	12
MFGE8	12
NAB1	12
NHS	12
NRP1	12
OLIG1	12
PDE3B	12
PIK3C2B	12
PSMA1	12
PTN	12
SCG3	12
SCML1	12
SEL1L3	12
SEMA3A	12
SGCD	12
SLC13A5	12
SLC1A3	12
SLC35F1	12
SPARCL1	12
SPRY4	12
SSX2IP	12
ST6GALNAC5	12
TBC1D4	12
THSD1	12
TMEM132B	12
TPD52L1	12
TRAF3IP2	12
VAV3	12
WIF1	12
ACKR3	13
ACTB	13
ACTG1	13
ATP6V1E2	13
BAIAP2	13
BHLHE40	13
BTG2	13
CEBPB	13
CEBPD	13
CSRNP1	13
CYCS	13
DDIT3	13
DUSP1	13
EMD	13
FAM131A	13
FOS	13
GABARAPL1	13
GADD45B	13
H3F3B	13
HES1	13
HSPB8	13
ID1	13
ID2	13
ID3	13
ID4	13
IER2	13
IFFO2	13
IRF2BP2	13
JOSD1	13
JUN	13
JUNB	13
JUND	13
MEF2D	13
NAPA	13
NR4A1	13
NR4A2	13
PER1	13
PIM1	13
PPP1R3C	13
RASD1	13
RBM38	13
RHOB	13
SLC19A2	13
SLC3A2	13
SQSTM1	13
SRSF3	13
SYAP1	13
TOB1	13
TRA2B	13
UBC	13
USP2	13
YWHAZ	13
ZFAND5	13
ZFP36L1	13
ZFP36L2	13
BRSK2	14
CHCHD10	14
CKB	14
CPSF1	14
CYB5R1	14
CYC1	14
CYHR1	14
DBP	14
DCXR	14
DPP7	14
ECHS1	14
FAM173A	14
FASTK	14
FXYD1	14
GAA	14
GCAT	14
GPAA1	14
GPT	14
HAGHL	14
IGSF8	14
LMF2	14
MAGED2	14
MRPS36	14
NDRG2	14
NDUFS3	14
NR1D2	14
NUBP2	14
NUDT16L1	14
NXF1	14
P4HTM	14
PARP10	14
PCYT2	14
PER2	14
PER3	14
POLR2C	14
PPP1R16A	14
PSD2	14
PUF60	14
PYGM	14
RHBDL1	14
RXRB	14
SLC25A11	14
SLC39A13	14
SUOX	14
TNK2	14
TUBA4A	14
TUBB4B	14
VPS28	14
ZDHHC8	14
AARS	15
AL035681.1	15
ASNS	15
C2orf69	15
C9orf153	15
CARS	15
CCDC62	15
CDKL1	15
CEBPG	15
EGF	15
